Pos,Name,GP,Team,Stat,Statname,League,ABBR,CREST
10,Ilicic,27,Atalanta,10,Goals,Serie A,FCB,http://upload.wikimedia.org/wikipedia/de/2/28/Atalanta_BC.svg
1,Alberto,30,Lazio,11,Assists,Serie A,FCB,http://upload.wikimedia.org/wikipedia/de/thumb/4/47/Lazio_Rom.svg/500px-Lazio_Rom.svg.png
2,Gomez,26,Atalanta,9,Assists,Serie A,FCB,http://upload.wikimedia.org/wikipedia/de/2/28/Atalanta_BC.svg
3,Immobile,28,Lazio,9,Assists,Serie A,FCB,http://upload.wikimedia.org/wikipedia/de/thumb/4/47/Lazio_Rom.svg/500px-Lazio_Rom.svg.png
4,Insigne,30,Napoli,9,Assists,Serie A,FCB,http://upload.wikimedia.org/wikipedia/commons/2/28/S.S.C._Napoli_logo.svg
5,Pjanic,26,Juventus,8,Assists,Serie A,FCB,http://upload.wikimedia.org/wikipedia/de/d/d2/Juventus_Turin.svg
6,Verdi,27,Bologna,8,Assists,Serie A,FCB,http://upload.wikimedia.org/wikipedia/de/9/92/FC_Bologna.svg
7,Ramírez,30,Sampdoria,8,Assists,Serie A,FCB,https://upload.wikimedia.org/wikipedia/en/f/f7/Sampdoria_badge.png
8,Perisic,30,Internazionale,8,Assists,Serie A,FCB,https://upload.wikimedia.org/wikipedia/it/7/7e/Logo_FC_Internazionale_Milano_2014.png
9,Candreva,30,Internazionale,8,Assists,Serie A,FCB,https://upload.wikimedia.org/wikipedia/it/7/7e/Logo_FC_Internazionale_Milano_2014.png
10,Falque,31,Torino,8,Assists,Serie A,FCB,http://upload.wikimedia.org/wikipedia/de/2/2e/Torino_FC_Logo.svg
1,Insigne,30,Napoli,83,Ch. Created,Serie A,FCB,http://upload.wikimedia.org/wikipedia/commons/2/28/S.S.C._Napoli_logo.svg
2,Alberto,30,Lazio,76,Ch. Created,Serie A,FCB,http://upload.wikimedia.org/wikipedia/de/thumb/4/47/Lazio_Rom.svg/500px-Lazio_Rom.svg.png
3,Gomez,26,Atalanta,72,Ch. Created,Serie A,FCB,http://upload.wikimedia.org/wikipedia/de/2/28/Atalanta_BC.svg
4,Candreva,30,Internazionale,72,Ch. Created,Serie A,FCB,https://upload.wikimedia.org/wikipedia/it/7/7e/Logo_FC_Internazionale_Milano_2014.png
5,Kolarov,29,Roma,71,Ch. Created,Serie A,FCB,http://upload.wikimedia.org/wikipedia/de/3/32/AS_Rom.svg
6,Falque,31,Torino,69,Ch. Created,Serie A,FCB,http://upload.wikimedia.org/wikipedia/de/2/2e/Torino_FC_Logo.svg
7,Suso,29,Milan,66,Ch. Created,Serie A,FCB,https://upload.wikimedia.org/wikipedia/it/7/7e/Logo_FC_Internazionale_Milano_2014.png
8,Perisic,30,Internazionale,60,Ch. Created,Serie A,FCB,https://upload.wikimedia.org/wikipedia/it/7/7e/Logo_FC_Internazionale_Milano_2014.png
9,Ilicic,27,Atalanta,57,Ch. Created,Serie A,FCB,http://upload.wikimedia.org/wikipedia/de/2/28/Atalanta_BC.svg
10,Birsa,29,Chievo,57,Ch. Created,Serie A,FCB,http://upload.wikimedia.org/wikipedia/de/3/3f/AC_Chievo_Verona.svg
1,Cavani,28,Paris Saint-Germain,24,Goals,Ligue 1,FCB,https://upload.wikimedia.org/wikipedia/fr/8/86/Paris_Saint-Germain_Logo.svg
2,Neymar,20,Paris Saint-Germain,19,Goals,Ligue 1,FCB,https://upload.wikimedia.org/wikipedia/fr/8/86/Paris_Saint-Germain_Logo.svg
3,Falcao,23,Monaco,18,Goals,Ligue 1,FCB,http://upload.wikimedia.org/wikipedia/de/3/3c/AS_Monaco.svg
4,Mariano,30,Lyon,17,Goals,Ligue 1,FCB,http://upload.wikimedia.org/wikipedia/de/f/f1/Olympique_Lyon.svg
5,Ekambi,31,Angers,17,Goals,Ligue 1,FCB,http://upload.wikimedia.org/wikipedia/de/0/0f/SCO_Angers.svg
6,Fekir,24,Lyon,16,Goals,Ligue 1,FCB,http://upload.wikimedia.org/wikipedia/de/f/f1/Olympique_Lyon.svg
